,First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation,name
774,DJ,Taylor,Minnesota United,M,"$63,547.00","$63,547.00",DJ Taylor
775,Russell,Teibert,Vancouver Whitecaps,M,"$350,000.00","$387,500.00",Russell Teibert
776,Ruan,Teixeira,Orlando City SC,D,"$190,000.00","$190,000.00",Ruan Teixeira
777,Carlos,Teran,Chicago Fire,D,"$150,000.00","$205,440.00",Carlos Teran
778,Andrew,Thomas,Seattle Sounders FC,GK,"$81,375.00","$88,875.00",Andrew Thomas
779,Tommy,Thompson,San Jose Earthquakes,D,"$265,000.00","$265,000.00",Tommy Thompson
780,Brooks,Thompson,Sporting Kansas City,GK,"$63,547.00","$63,547.00",Brooks Thompson
781,Gudmundur,Thorarinson,New York City FC,D-M,"$400,000.00","$400,000.00",Gudmundur Thorarinson
782,Robert,Thorkelsson,Montreal,D,"$150,000.00","$173,500.00",Robert Thorkelsson
783,Anton,Tinnerholm,New York City FC,D,"$600,000.00","$650,000.00",Anton Tinnerholm
784,Donny,Toia,Real Salt Lake,D,"$200,000.00","$205,000.00",Donny Toia
785,John,Tolkin,New York Red Bulls,D,"$81,375.00","$86,375.00",John Tolkin
786,Nouhou,Tolo,Seattle Sounders FC,D,"$125,000.00","$169,274.00",Nouhou Tolo
787,Erick,Torres,Atlanta United,F,"$81,375.00","$81,375.00",Erick Torres
788,Christian,Torres,LAFC,F,"$79,738.00","$90,968.00",Christian Torres
789,Joaquin,Torres,Montreal,M,"$200,000.00","$249,800.00",Joaquin Torres
790,Juan Pablo,Torres,New York City FC,M,"$90,000.00","$104,500.00",Juan Pablo Torres
791,"Dantouma ""Yaya""",Toure,Colorado Rapids,F,"$63,547.00","$78,165.00","Dantouma ""Yaya"" Toure"
792,Mason,Toye,Montreal,F,"$175,000.00","$233,000.00",Mason Toye
793,Mohamed,Traore,LAFC,D,"$91,444.00","$91,444.00",Mohamed Traore
794,Wil,Trapp,Minnesota United,M,"$747,500.00","$747,500.00",Wil Trapp
795,Arnor,Traustason,New England Revolution,M,"$375,000.00","$413,405.00",Arnor Traustason
796,Auston,Trusty,Colorado Rapids,D,"$375,000.00","$431,250.00",Auston Trusty
797,Bill,Tuiloma,Portland Timbers,D-M,"$220,000.00","$234,125.00",Bill Tuiloma
798,Matt,Turner,New England Revolution,GK,"$375,000.00","$375,000.00",Matt Turner
799,Cole,Turner,Philadelphia Union,M,"$85,444.00","$88,444.00",Cole Turner
800,Ema,Twumasi,FC Dallas,F,"$200,000.00","$246,900.00",Ema Twumasi
801,Przemyslaw,Tyton,FC Cincinnati,GK,"$262,500.00","$269,375.00",Przemyslaw Tyton
802,Victor,Ulloa,Inter Miami,M,"$220,000.00","$220,000.00",Victor Ulloa
803,Maximiliano,Urruti,Houston Dynamo,F,"$1,136,127.00","$1,270,146.00",Maximiliano Urruti
804,Felipe,Valencia,Inter Miami,F,"$63,547.00","$63,547.00",Felipe Valencia
805,Zarek,Valentin,Houston Dynamo,D,"$250,000.00","$280,000.00",Zarek Valentin
806,Milton,Valenzuela,Columbus Crew,D,"$375,000.00","$406,300.00",Milton Valenzuela
807,Diego,Valeri,Portland Timbers,M,"$765,000.00","$914,875.00",Diego Valeri
808,Gustavo,Vallecilla,FC Cincinnati,D,"$252,000.00","$284,880.00",Gustavo Vallecilla
809,Florian,Valot,FC Cincinnati,M,"$93,581.00","$97,498.00",Florian Valot
810,Silvester,Van der Water,Orlando City SC,F,"$300,000.00","$325,750.00",Silvester Van der Water
811,Maikel,Van Der Werff,FC Cincinnati,D,"$350,000.00","$435,167.00",Maikel Van Der Werff
812,Jose,Van Rankin,Portland Timbers,D-M,"$105,255.00","$105,255.00",Jose Van Rankin
813,Freddy,Vargas,FC Dallas,M,"$160,000.00","$186,000.00",Freddy Vargas
814,Indiana,Vassilev,Inter Miami,F,"$81,375.00","$81,375.00",Indiana Vassilev
815,Brandon,Vazquez,FC Cincinnati,F,"$250,000.00","$279,167.00",Brandon Vazquez
816,Victor,Vazquez,LA Galaxy,M,"$400,000.00","$439,167.00",Victor Vazquez
817,Daniel,Vega,San Jose Earthquakes,GK,"$220,000.00","$225,000.00",Daniel Vega
818,Carlos,Vela,LAFC,F,"$4,500,000.00","$6,300,000.00",Carlos Vela
819,Matias Gabriel,Vera,Houston Dynamo,M,"$350,000.00","$356,250.00",Matias Gabriel Vera
820,Collin,Verfurth,New England Revolution,D,"$81,375.00","$81,375.00",Collin Verfurth
821,Kenneth,Vermeer,FC Cincinnati,GK,"$81,375.00","$104,375.00",Kenneth Vermeer
822,Ranko,Veselinovic,Vancouver Whitecaps,D,"$360,000.00","$445,500.00",Ranko Veselinovic
823,Jorge,Villafaña,LA Galaxy,D,"$450,000.00","$486,667.00",Jorge Villafaña
824,Will,Vint,Colorado Rapids,D,"$63,547.00","$63,547.00",Will Vint
825,Pedro,Vite,Vancouver Whitecaps,M,"$556,000.00","$609,997.00",Pedro Vite
826,Justin,Vom Steeg,LA Galaxy,GK,"$85,444.00","$85,444.00",Justin Vom Steeg
827,Kai,Wagner,Philadelphia Union,D,"$450,000.00","$521,000.00",Kai Wagner
828,Anton,Walkes,Atlanta United,D,"$250,000.00","$275,062.00",Anton Walkes
829,Casey,Walls,San Jose Earthquakes,D,"$85,000.00","$88,000.00",Casey Walls
830,Remi,Walter,Sporting Kansas City,M,"$650,000.00","$650,000.00",Remi Walter
831,Victor,Wanyama,Montreal,M,"$2,400,000.00","$3,091,667.00",Victor Wanyama
832,Collen,Warner,Colorado Rapids,M,"$81,375.00","$81,375.00",Collen Warner
833,Bryce,Washington,Atlanta United,D,"$63,547.00","$63,547.00",Bryce Washington
834,Taylor,Washington,Nashville SC,D-M,"$89,513.00","$89,513.00",Taylor Washington
835,Joel,Waterman,Montreal,D,"$81,375.00","$90,284.00",Joel Waterman
836,Patrick,Weah,Minnesota United,M-F,"$63,547.00","$76,733.00",Patrick Weah
837,Quentin,Westberg,Toronto FC,GK,"$275,000.00","$288,583.00",Quentin Westberg
838,Brian,White,Vancouver Whitecaps,F,"$216,000.00","$216,000.00",Brian White
839,Josh,Williams,Columbus Crew,D,"$300,000.00","$302,500.00",Josh Williams
840,Derrick,Williams,LA Galaxy,D,"$750,000.00","$821,458.00",Derrick Williams
841,Augustine,Williams,LA Galaxy,F-M,"$63,547.00","$63,547.00",Augustine Williams
842,Thomas,Williams,Orlando City SC,,"$63,547.00","$70,077.00",Thomas Williams
843,Eryk,Williamson,Portland Timbers,M,"$220,000.00","$236,500.00",Eryk Williamson
844,Tommy,Williamson,San Jose Earthquakes,F,"$63,547.00","$63,547.00",Tommy Williamson
845,Joe,Willis,Nashville SC,GK,"$300,000.00","$316,250.00",Joe Willis
846,Danny,Wilson,Colorado Rapids,D,"$275,000.00","$288,750.00",Danny Wilson
847,Tyler,Wolff,Atlanta United,F-M,"$75,000.00","$79,500.00",Tyler Wolff
848,Owen,Wolff,Austin FC,M,"$63,547.00","$76,600.00",Owen Wolff
849,Chris,Wondolowski,San Jose Earthquakes,F,"$390,000.00","$400,000.00",Chris Wondolowski
850,Bobby,Wood,Real Salt Lake,F,"$875,000.00","$968,161.00",Bobby Wood
851,Vito,Wormgoor,Columbus Crew,D,"$415,000.00","$492,875.00",Vito Wormgoor
852,Bradley,Wright-Phillips,Columbus Crew,F,"$410,000.00","$475,750.00",Bradley Wright-Phillips
853,Karifa,Yao,Montreal,D,"$81,375.00","$85,591.00",Karifa Yao
854,Darren,Yapi,Colorado Rapids,F,"$63,547.00","$74,380.00",Darren Yapi
855,William,Yarbrough,Colorado Rapids,GK,"$300,000.00","$375,000.00",William Yarbrough
856,Dru,Yearwood,New York Red Bulls,M,"$475,000.00","$519,750.00",Dru Yearwood
857,Griffin,Yow,DC United,F,"$110,000.00","$116,118.00",Griffin Yow
858,Jackson,Yueill,San Jose Earthquakes,M,"$600,000.00","$636,875.00",Jackson Yueill
859,Renzo,Zambrano,Portland Timbers,M,"$85,444.00","$85,444.00",Renzo Zambrano
860,Gyasi,Zardes,Columbus Crew,F,"$1,350,000.00","$1,400,000.00",Gyasi Zardes
861,Eriq,Zavaleta,Toronto FC,D,"$81,375.00","$115,503.00",Eriq Zavaleta
862,Gedion,Zelalem,New York City FC,M,"$81,375.00","$81,375.00",Gedion Zelalem
863,Lucas,Zelarayan,Columbus Crew,M,"$1,620,000.00","$1,985,000.00",Lucas Zelarayan
864,Adrian,Zendejas,Minnesota United,GK,"$81,375.00","$90,208.00",Adrian Zendejas
865,Walker,Zimmerman,Nashville SC,D,"$925,000.00","$981,050.00",Walker Zimmerman
866,Kyle,Zobeck,FC Dallas,GK,"$85,444.00","$85,444.00",Kyle Zobeck
867,Rida,Zouhir,Montreal,M,"$63,547.00","$71,730.00",Rida Zouhir
868,Ethan,Zubak,LA Galaxy,F,"$130,000.00","$133,125.00",Ethan Zubak
869,Dario,Zuparic,Portland Timbers,D,"$525,000.00","$541,667.00",Dario Zuparic
870,Graham,Zusi,Sporting Kansas City,D,"$650,000.00","$713,333.00",Graham Zusi
