,First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation,name
330,Kamron,Habibullah,Vancouver Whitecaps,M-F,"$63,547.00","$74,429.00",Kamron Habibullah
331,Teenage,Hadebe,Houston Dynamo,D,"$960,000.00","$1,125,177.00",Teenage Hadebe
332,Nick,Hagglund,FC Cincinnati,D,"$175,000.00","$184,375.00",Nick Hagglund
333,Marlon,Hairston,Columbus Crew,M-D,"$81,375.00","$81,375.00",Marlon Hairston
334,Siad,Haji,San Jose Earthquakes,F,"$95,000.00","$104,000.00",Siad Haji
335,Michael,Halliday,Orlando City SC,D,"$85,444.00","$95,089.00",Michael Halliday
336,Bret,Halsey,Real Salt Lake,D,"$81,375.00","$88,875.00",Bret Halsey
337,Nicholas,Hamalainen,LA Galaxy,D-M,"$612,500.00","$612,500.00",Nicholas Hamalainen
338,Ahmed,Hamdi,Montreal,M,"$400,000.00","$497,500.00",Ahmed Hamdi
339,Bill,Hamid,DC United,GK,"$500,000.00","$500,000.00",Bill Hamid
340,Niko,Hansen,Minnesota United,M,"$110,004.00","$129,004.00",Niko Hansen
341,Cameron,Harper,New York Red Bulls,M-F,"$200,000.00","$251,250.00",Cameron Harper
342,Nathan,Harriel,Philadelphia Union,D,"$70,000.00","$87,500.00",Nathan Harriel
343,Calvin,Harris,FC Cincinnati,F,"$81,375.00","$96,375.00",Calvin Harris
344,Wilson,Harris,Sporting Kansas City,F,"$67,360.00","$71,212.00",Wilson Harris
345,Carlos Miguel,Harvey,LA Galaxy,D-M,"$81,375.00","$81,375.00",Carlos Miguel Harvey
346,Jordan,Harvey,LAFC,D,"$110,000.00","$110,000.00",Jordan Harvey
347,Thomas,Hasal,Vancouver Whitecaps,GK,"$81,375.00","$81,375.00",Thomas Hasal
348,Jacori,Hayes,Minnesota United,M,"$160,000.00","$169,833.00",Jacori Hayes
349,Matt,Hedges,FC Dallas,D,"$850,000.00","$850,000.00",Matt Hedges
350,Fabian,Herbers,Chicago Fire,M,"$230,000.00","$251,250.00",Fabian Herbers
351,Ronald,Hernandez,Atlanta United,D,"$250,000.00","$250,000.00",Ronald Hernandez
352,Dominick,Hernandez,FC Dallas,M,"$63,547.00","$73,237.00",Dominick Hernandez
353,Javier,Hernandez,LA Galaxy,F,"$6,000,000.00","$6,000,000.00",Javier Hernandez
354,Felipe,Hernandez,Sporting Kansas City,M,"$81,375.00","$81,375.00",Felipe Hernandez
355,Aaron,Herrera,Real Salt Lake,D,"$315,000.00","$343,794.00",Aaron Herrera
356,Federico,Higuain,Inter Miami,M-F,"$81,375.00","$81,375.00",Federico Higuain
357,Gonzalo,Higuain,Inter Miami,F,"$5,100,000.00","$5,793,750.00",Gonzalo Higuain
358,Nick,Hinds,Nashville SC,D,"$63,547.00","$63,547.00",Nick Hinds
359,Brendan,Hines-Ike,DC United,D,"$240,000.00","$274,429.00",Brendan Hines-Ike
360,Danny,Hoesen,Austin FC,F,"$650,000.00","$716,667.00",Danny Hoesen
361,Ian,Hoffmann,Houston Dynamo,D,"$63,547.00","$63,547.00",Ian Hoffmann
362,Ryan,Hollingshead,FC Dallas,D,"$346,500.00","$346,500.00",Ryan Hollingshead
363,Erik,Holt,Real Salt Lake,D,"$90,000.00","$90,000.00",Erik Holt
364,Rio,Hope-Gund,Orlando City SC,D,"$63,547.00","$63,547.00",Rio Hope-Gund
365,Shandon,Hopeau,Seattle Sounders FC,M,"$66,724.00","$74,360.00",Shandon Hopeau
366,Matt,Hundley,Colorado Rapids,F,"$95,000.00","$104,000.00",Matt Hundley
367,Adrien,Hunou,Minnesota United,F,"$2,350,000.00","$2,587,702.00",Adrien Hunou
368,Erik,Hurtado,Columbus Crew,F,"$218,182.00","$245,682.00",Erik Hurtado
369,Emerson,Hyndman,Atlanta United,M,"$900,000.00","$900,000.00",Emerson Hyndman
370,Franco,Ibarra,Atlanta United,D-M,"$300,000.00","$370,000.00",Franco Ibarra
371,Sebastien,Ibeagha,LAFC,D,"$150,000.00","$177,125.00",Sebastien Ibeagha
372,Sunusi,Ibrahim,Montreal,F,"$200,000.00","$291,250.00",Sunusi Ibrahim
373,Milan,Iloski,Real Salt Lake,F,"$120,000.00","$121,500.00",Milan Iloski
374,Clint,Irwin,Colorado Rapids,GK,"$190,000.00","$203,300.00",Clint Irwin
375,Nicolas,Isimat-Mirin,Sporting Kansas City,D,"$950,000.00","$1,028,124.00",Nicolas Isimat-Mirin
376,Aljaz,Ivacic,Portland Timbers,GK,"$225,000.00","$235,000.00",Aljaz Ivacic
377,Stanislav,Ivanov,Chicago Fire,M,"$275,000.00","$334,000.00",Stanislav Ivanov
378,Aziel,Jackson,Minnesota United,M-F,"$63,547.00","$67,444.00",Aziel Jackson
379,Adam,Jahn,Major League Soccer,F,"$125,000.00","$134,000.00",Adam Jahn
380,Robin,Jansson,Orlando City SC,D,"$500,000.00","$556,250.00",Robin Jansson
381,Franco,Jara,FC Dallas,F,"$2,290,000.00","$2,977,000.00",Franco Jara
382,Andres,Jasson,New York City FC,M,"$63,547.00","$80,691.00",Andres Jasson
383,Assi,Jean-Aniel,Montreal,,"$63,547.00","$71,310.00",Assi Jean-Aniel
384,Cal,Jennings,LAFC,F,"$81,375.00","$81,375.00",Cal Jennings
385,David,Jensen,New York Red Bulls,GK,"$324,996.00","$364,631.00",David Jensen
386,Hector,Jimenez,Austin FC,D,"$250,000.00","$250,000.00",Hector Jimenez
387,Bjorn,Johnsen,Montreal,F,"$900,000.00","$1,036,667.00",Bjorn Johnsen
388,Sean,Johnson,New York City FC,GK,"$510,000.00","$510,000.00",Sean Johnson
389,Alistair,Johnston,Nashville SC,M-D,"$73,079.00","$73,079.00",Alistair Johnston
