,Defensive passing,Dribbling,Defensive actions,Short passing,Playing time,Tackling,Attacking play,Passing volume,Progressive passing
Michael Barrios,0.006869236993378233,0.29633068785230493,0.0,0.0321679554731637,0.4462545243186907,0.1041910351460664,0.5322283805247129,0.00879982397956283,0.6463457290359744
Alejandro Pozuelo,0.0,0.20925135306697856,0.0,0.2810511527202748,0.17286305291280626,0.0019868315286052673,0.14823173513889423,0.7813120723961532,0.46359177781548905
Darwin Quintero,0.022672455589913366,0.3441696899514496,0.0,0.21664089032728825,0.031703120201424365,0.19791315618973532,0.4338890091458844,0.6650899710973128,0.40412975859139116
Alejandro Bedoya,0.0,0.04320366169873573,0.11464260926938585,0.0,0.5197694686847467,0.3591998044901084,0.29359591860629497,0.27680367082506213,0.650374415262984
Franco Fragapane,0.0,0.15792854975890697,0.0,0.22777946947932382,0.270586984423302,0.2696914529427679,0.41119969656712557,0.5248393775183828,0.5767865531323604
Diego Valeri,0.019394325710332606,0.14428712936724458,0.0,0.1818587641748972,0.1352568293243376,0.1291204751726223,0.39615154115547907,0.5913856982937618,0.6356830024690313
Romain Métanire,0.026620809273068577,0.10441852605365347,0.17528161517567603,0.0,0.39092441245062776,0.27654534623065796,0.0,0.44469219759896544,0.7284326214103369
Dániel Sallói,0.0019384375446213171,0.1596879238241947,0.0,0.0,0.46965525381394246,0.0,0.6680308703819695,0.18861855879751874,0.5216107241069918
Valentín Castellanos,0.0,0.09136393273630931,0.003281640499589723,0.0,0.39986744154574694,0.1271501317858435,0.8870101517723086,0.11160176915467583,0.12782320440162911
Sacha Kljestan,0.0018099478933338066,0.03444647135466434,0.090743027815753,0.1930626016881713,0.28438138402799756,0.35328108548249887,0.18660915341863976,0.7033721864476605,0.4669764380382627
Carlos Vela,0.011528812445093009,0.37137645613749454,0.0,0.22345630270114725,0.15412320701707152,0.011052405955882815,0.6412059286166737,0.44502600621421196,0.42301842439155213
Randall Leal,0.013812014417884017,0.19868068693139349,0.008597665546840983,0.03198177077889747,0.4229819744114199,0.360560350843996,0.41802822605836726,0.418886425305178,0.5478206887467797
Guðmundur Þórarinsson,0.0262144432515592,0.05110928785860266,0.10376569613404624,0.17334327143380984,0.22953347678595654,0.2280811304235268,0.06552237047772229,0.3636279554821176,0.8453758596933028
DeJuan Jones,0.0039654057962526645,0.11214237109532697,0.2308184086516782,0.011828257949241442,0.4168510912046061,0.33518745038054815,0.035566958481204544,0.40242221489181335,0.6961804449984662
Yeferson Soteldo,0.00233990519137662,0.6124556015448172,0.0,0.1732532923734305,0.29320799536546943,0.0,0.22000971550261292,0.44981284260298415,0.5081034942110548
C.J. Sapong,0.0,0.11202121444521443,0.05615865477379691,0.039758423179535304,0.5695238600444658,0.01591949765231559,0.7863961960823106,0.11433180761757805,0.16314142264677214
Gonzalo Higuaín,0.022256902800860484,0.1485054393450028,0.0,0.0,0.5568954087529412,0.11566300317327739,0.7449440787414908,0.30782246985352646,0.06514587301403026
Deiber Caicedo,0.011603324462129755,0.40594342052950977,0.033702186753349926,0.10092825598529334,0.6225374702719491,0.20208512165197576,0.3509688051078338,0.2921390249613191,0.4322468526110688
Sebastian Lletget,0.0,0.10701765684064009,0.05319549462977447,0.24526474483206812,0.40907024101867634,0.15155518388071765,0.1921962544630567,0.6467086734715011,0.5292293652064295
Cristián Dajome,0.008810147988922079,0.22715304666515534,0.02466603462758396,0.0,0.541757952967911,0.4206306995618072,0.41327588738154697,0.2281357177344796,0.5044211847294225
