,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
52,Eduard Atuesta\60990b81,co COL,MF,Los Angeles FC,23,1997,23.6,2,41,13,31.7,1.73,0.55,0.02,0.08,24.3,14,1,1,2.5,1.8,0.04,-0.5,-0.8,Matches
53,Auro\b234cb0e,br BRA,DFMF,Toronto FC,25,1996,22.1,0,11,5,45.5,0.5,0.23,0,0,23.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
54,Brandon Austin\5e253986,eng ENG,GK,Orlando City,22,1999,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
55,Edison Azcona\05f54837,do DOM,FW,Inter Miami,17,2003,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
56,Dominique Badji\758ac389,sn SEN,FW,Nashville,28,1992,2.1,0,10,5,50,4.79,2.39,0,0,18.7,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
57,Dominique Badji\758ac389,sn SEN,FWMF,Colorado Rapids,28,1992,3.6,5,13,7,53.8,3.57,1.92,0.38,0.71,13.3,0,0,0,1.6,1.6,0.12,+3.4,+3.4,Matches
58,Zico Bailey\aa9e1161,us USA,DF,FC Cincinnati,20,2000,7.6,1,6,5,83.3,0.79,0.66,0.17,0.2,16.9,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
59,Theo Bair\c724745e,ca CAN,FW,Vancouver,21,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
60,Corey Baird\2d0d1442,us USA,FW,Houston Dynamo,25,1996,4,0,9,5,55.6,2.24,1.24,0,0,17.2,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
61,Corey Baird\2d0d1442,us USA,FW,Los Angeles FC,25,1996,8.3,3,15,8,53.3,1.8,0.96,0.2,0.38,14.3,0,0,0,2.9,2.9,0.19,+0.1,+0.1,Matches
62,Mateo Bajamich\d005b036,ar ARG,FWMF,Houston Dynamo,21,1999,1.5,0,3,1,33.3,1.94,0.65,0,0,17.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
63,Reed Baker-Whiting\816d7aec,us USA,MFFW,Seattle,15,2005,2.2,0,3,2,66.7,1.34,0.9,0,0,10.2,0,0,0,0.8,0.8,0.26,-0.8,-0.8,Matches
64,Michael Baldisimo\894b41c5,ca CAN,MF,Vancouver,20,2000,13.9,0,7,1,14.3,0.5,0.07,0,0,26.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
65,Grayson Barber\8504b10a,us USA,FWMF,Sporting KC,20,2000,2.4,0,2,0,0,0.83,0,0,,18.4,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
66,Ezequiel Barco\7fa737c4,ar ARG,FWMF,Atlanta Utd,21,1999,23.7,7,60,19,31.7,2.53,0.8,0.1,0.32,21.6,15,1,1,5.1,4.4,0.07,+1.9,+1.6,Matches
67,Tom Barlow\da4821de,us USA,FWMF,NY Red Bulls,25,1995,5.5,1,12,3,25,2.16,0.54,0.08,0.33,12,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches
68,Luis Barraza\e6f22a6b,us USA,GK,NYCFC,24,1996,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
69,Álvaro Barreal\ffca53e1,ar ARG,FWMF,FC Cincinnati,20,2000,24.5,3,56,13,23.2,2.28,0.53,0.05,0.23,20.1,8,0,0,4.5,4.5,0.08,-1.5,-1.5,Matches
70,Michael Barrios\df782c79,co COL,FWMF,Colorado Rapids,29,1991,23.3,8,53,20,37.7,2.28,0.86,0.15,0.4,15.3,0,0,0,6.2,6.2,0.12,+1.8,+1.8,Matches
71,Cole Bassett\2c8da8a1,us USA,MFFW,Colorado Rapids,19,2001,24.6,5,62,18,29,2.52,0.73,0.06,0.22,15.3,1,1,1,8.2,7.5,0.12,-3.2,-3.5,Matches
72,Zorhan Bassong\6297d826,ca CAN,DF,CF Montréal,21,1999,13.9,0,5,1,20,0.36,0.07,0,0,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
73,Clement Bayiha\ca9f2034,ca CAN,DF,CF Montréal,21,1999,3.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
74,Tanner Beason\3f1b018e,us USA,DF,San Jose,23,1997,21.4,0,12,3,25,0.56,0.14,0,0,8.7,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
75,Alejandro Bedoya\9a6f8dfd,us USA,MF,Philadelphia,33,1987,29.5,3,36,14,38.9,1.22,0.48,0.08,0.21,13,0,0,0,4.4,4.4,0.12,-1.4,-1.4,Matches
76,Steven Beitashour\64f1680a,ir IRN,DF,Colorado Rapids,33,1987,6.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
77,Jon Bell\658a3134,us USA,DF,New England,23,1997,9.1,1,3,2,66.7,0.33,0.22,0.33,0.5,7.7,0,0,0,0.4,0.4,0.12,+0.6,+0.6,Matches
